opcode,name,operand,cycles,reads,writes
0,BRK,imp,7,,
1,ORA,izx,6,am,a
5,ORA,zp,3,am,a
6,ASL,zp,5,m,m
8,PHP,imp,3,,
9,ORA,imm,2,,a
10,ASL,imp,2,a,a
13,ORA,abs,4,am,a
14,ASL,abs,6,m,m
16,BPL,rel,nc,,
17,ORA,izy,!5,am,a
21,ORA,zpx,4,am,a
22,ASL,zpx,6,m,m
24,CLC,imp,cc,,
25,ORA,aby,!4,am,a
29,ORA,abx,!4,am,a
30,ASL,abx,7,m,m
32,JSR,abs,6,,
33,AND,izx,6,am,a
36,BIT,zp,3,am,
37,AND,zp,3,am,a
38,ROL,zp,5,m,m
40,PLP,imp,4,,
41,AND,imm,2,,a
42,ROL,imp,2,a,a
44,BIT,abs,4,am,
45,AND,abs,4,am,a
46,ROL,abs,6,m,m
48,BMI,rel,ns,,
49,AND,izy,!5,am,a
53,AND,zpx,4,am,a
54,ROL,zpx,6,m,m
56,SEC,imp,cs,,
57,AND,aby,!4,am,a
61,AND,abx,!4,am,a
62,ROL,abx,7,m,m
64,RTI,imp,6,,
65,EOR,izx,6,am,a
69,EOR,zp,3,am,a
70,LSR,zp,5,m,m
72,PHA,imp,3,a,
73,EOR,imm,2,,a
74,LSR,imp,2,a,a
76,JMP,abs,3,,
77,EOR,abs,4,am,a
78,LSR,abs,6,m,m
80,BVC,rel,vc,,
81,EOR,izy,!5,am,a
85,EOR,zpx,4,am,a
86,LSR,zpx,6,m,m
88,CLI,imp,ic,,
89,EOR,aby,!4,am,a
93,EOR,abx,!4,am,a
94,LSR,abx,7,m,m
96,RTS,imp,6,,
97,ADC,izx,6,am,a
101,ADC,zp,3,am,a
102,ROR,zp,5,m,m
104,PLA,imp,4,,a
105,ADC,imm,2,,a
106,ROR,imp,2,a,a
108,JMP,ind,5,m,
109,ADC,abs,4,am,a
110,ROR,abs,6,m,m
112,BVS,rel,vs,,
113,ADC,izy,!5,am,a
117,ADC,zpx,3,am,a
118,ROR,zpx,6,m,m
120,SEI,imp,is,,
121,ADC,aby,!4,am,a
125,ADC,abx,!4,am,a
126,ROR,abx,7,m,m
129,STA,izx,6,a,m
132,STY,zp,3,y,m
133,STA,zp,3,a,m
134,STX,zp,3,x,m
136,DEY,imp,2,y,y
138,TXA,imp,2,x,a
140,STY,abs,4,y,m
141,STA,abs,4,a,m
142,STX,abs,4,x,m
144,BCC,rel,cc,,
145,STA,izy,6,a,m
148,STY,zpx,4,y,m
149,STA,zpx,4,a,m
150,STX,zpy,4,x,m
152,TYA,imp,2,y,a
153,STA,aby,5,a,m
154,TXS,imp,2,x,
157,STA,abx,5,a,m
160,LDY,imm,2,,y
161,LDA,izx,6,m,a
162,LDX,imm,2,,x
164,LDY,zp,3,m,y
165,LDA,zp,3,m,a
166,LDX,zp,3,m,x
168,TAY,imp,2,a,y
169,LDA,imm,2,,a
170,TAX,imp,2,a,x
172,LDY,abs,4,m,y
173,LDA,abs,4,m,a
174,LDX,abs,4,m,x
176,BCS,rel,cs,,
177,LDA,izy,!5,m,a
180,LDY,zpx,4,m,y
181,LDA,zpx,4,m,a
182,LDX,zpy,4,m,x
184,CLV,imp,vc,,
185,LDA,aby,!4,m,a
186,TSX,imp,2,,x
188,LDY,abx,!4,m,y
189,LDA,abx,!4,m,a
190,LDX,aby,!4,m,x
192,CPY,imm,2,y,
193,CMP,izx,6,am,
196,CPY,zp,3,my,
197,CMP,zp,3,am,
198,DEC,zp,5,m,m
200,INY,imp,2,y,y
201,CMP,imm,2,m,
202,DEX,imp,2,x,x
204,CPY,abs,4,my,
205,CMP,abs,4,am,
206,DEC,abs,6,m,m
208,BNE,rel,zc,,
209,CMP,izy,!5,am,
213,CMP,zpx,4,am,
214,DEC,zpx,6,m,m
216,CLD,imp,dc,,
217,CMP,aby,!4,am,
221,CMP,abx,!4,am,
222,DEC,abx,7,m,m
224,CPX,imm,2,x,
225,SBC,izx,6,am,a
228,CPX,zp,3,mx,
229,SBC,zp,3,am,a
230,INC,zp,5,m,m
232,INX,imp,2,x,x
233,SBC,imm,2,,a
234,NOP,imp,2,,
236,CPX,abs,4,mx,
237,SBC,abs,4,am,a
238,INC,abs,6,m,m
240,BEQ,rel,zs,,
241,SBC,izy,!5,am,a
245,SBC,zpx,4,am,a
246,INC,zpx,6,m,m
248,SED,imp,ds,,
249,SBC,aby,!4,am,a
253,SBC,abx,!4,am,a
254,INC,abx,7,m,m
